time,value
1900-06-16 00:00:00+00:00,0.0
1900-06-19 00:00:00+00:00,1.0
1900-06-22 00:00:00+00:00,0.0
1900-06-25 00:00:00+00:00,0.0
1900-06-28 00:00:00+00:00,0.0
1900-07-01 00:00:00+00:00,0.0
1900-07-04 00:00:00+00:00,0.0
1900-07-07 00:00:00+00:00,0.0
1900-07-10 00:00:00+00:00,0.0
1900-07-13 00:00:00+00:00,0.0
1900-07-16 00:00:00+00:00,0.0
1900-07-19 00:00:00+00:00,0.0
1900-07-22 00:00:00+00:00,0.0
1900-07-25 00:00:00+00:00,0.0
1900-07-28 00:00:00+00:00,1.0
1900-07-31 00:00:00+00:00,1.0
1900-08-03 00:00:00+00:00,0.0
1900-08-06 00:00:00+00:00,0.0
1900-08-09 00:00:00+00:00,0.0
1900-08-12 00:00:00+00:00,0.0
1900-08-15 00:00:00+00:00,0.0
1900-08-18 00:00:00+00:00,0.0
1900-08-21 00:00:00+00:00,0.0
1900-08-24 00:00:00+00:00,0.0
1900-08-27 00:00:00+00:00,0.0
1900-08-30 00:00:00+00:00,0.0
1900-09-02 00:00:00+00:00,0.0
1900-09-05 00:00:00+00:00,0.0
1900-09-08 00:00:00+00:00,0.0
1900-09-11 00:00:00+00:00,0.0
1900-09-14 00:00:00+00:00,0.0
1900-09-17 00:00:00+00:00,1.0
1900-09-20 00:00:00+00:00,0.0
1900-09-23 00:00:00+00:00,0.0
1900-09-26 00:00:00+00:00,0.0
1900-09-29 00:00:00+00:00,0.0
1900-10-02 00:00:00+00:00,0.0
1900-10-05 00:00:00+00:00,0.0
1900-10-08 00:00:00+00:00,1.0
1900-10-11 00:00:00+00:00,0.0
1900-10-14 00:00:00+00:00,0.0
1900-10-17 00:00:00+00:00,0.0
1900-10-20 00:00:00+00:00,0.0
1900-10-23 00:00:00+00:00,0.0
1900-10-26 00:00:00+00:00,0.0
1900-10-29 00:00:00+00:00,1.0
1900-11-01 00:00:00+00:00,0.0
1900-11-04 00:00:00+00:00,0.0
1900-11-07 00:00:00+00:00,1.0
1900-11-10 00:00:00+00:00,0.0
1900-11-13 00:00:00+00:00,0.0
1900-11-16 00:00:00+00:00,0.0
1900-11-19 00:00:00+00:00,0.0
1900-11-22 00:00:00+00:00,1.0
1900-11-25 00:00:00+00:00,0.0
1900-11-28 00:00:00+00:00,0.0
1900-12-01 00:00:00+00:00,0.0
1900-12-04 00:00:00+00:00,0.0
1900-12-07 00:00:00+00:00,0.0
1900-12-10 00:00:00+00:00,0.0
1900-12-13 00:00:00+00:00,0.0
1900-12-16 00:00:00+00:00,0.0
1900-12-19 00:00:00+00:00,0.0
1900-12-22 00:00:00+00:00,0.0
1900-12-25 00:00:00+00:00,1.0
1900-12-28 00:00:00+00:00,0.0
1900-12-31 00:00:00+00:00,0.0
1901-01-03 00:00:00+00:00,0.0
1901-01-06 00:00:00+00:00,1.0
1901-01-09 00:00:00+00:00,0.0
1901-01-12 00:00:00+00:00,0.0
1901-01-15 00:00:00+00:00,0.0
1901-01-18 00:00:00+00:00,1.0
1901-01-21 00:00:00+00:00,0.0
1901-01-24 00:00:00+00:00,0.0
1901-01-27 00:00:00+00:00,0.0
1901-01-30 00:00:00+00:00,0.0
1901-02-02 00:00:00+00:00,0.0
1901-02-05 00:00:00+00:00,0.0
1901-02-08 00:00:00+00:00,0.0
1901-02-11 00:00:00+00:00,0.0
1901-02-14 00:00:00+00:00,0.0
1901-02-17 00:00:00+00:00,0.0
1901-02-20 00:00:00+00:00,0.0
1901-02-23 00:00:00+00:00,0.0
1901-02-26 00:00:00+00:00,0.0
1901-03-01 00:00:00+00:00,1.0
1901-03-04 00:00:00+00:00,0.0
1901-03-07 00:00:00+00:00,0.0
1901-03-10 00:00:00+00:00,0.0
1901-03-13 00:00:00+00:00,0.0
1901-03-16 00:00:00+00:00,0.0
1901-03-19 00:00:00+00:00,0.0
1901-03-22 00:00:00+00:00,0.0
1901-03-25 00:00:00+00:00,0.0
1901-03-28 00:00:00+00:00,0.0
1901-03-31 00:00:00+00:00,0.0
1901-04-03 00:00:00+00:00,1.0
1901-04-06 00:00:00+00:00,0.0
1901-04-09 00:00:00+00:00,0.0
1901-04-12 00:00:00+00:00,0.0
1901-04-15 00:00:00+00:00,0.0
1901-04-18 00:00:00+00:00,0.0
1901-04-21 00:00:00+00:00,0.0
1901-04-24 00:00:00+00:00,0.0
1901-04-27 00:00:00+00:00,0.0
1901-04-30 00:00:00+00:00,0.0
1901-05-03 00:00:00+00:00,0.0
1901-05-06 00:00:00+00:00,0.0
1901-05-09 00:00:00+00:00,0.0
1901-05-12 00:00:00+00:00,0.0
1901-05-15 00:00:00+00:00,1.0
1901-05-18 00:00:00+00:00,0.0
1901-05-21 00:00:00+00:00,0.0
1901-05-24 00:00:00+00:00,1.0
1901-05-27 00:00:00+00:00,0.0
1901-05-30 00:00:00+00:00,0.0
1901-06-02 00:00:00+00:00,0.0
1901-06-05 00:00:00+00:00,0.0
1901-06-08 00:00:00+00:00,0.0
1901-06-11 00:00:00+00:00,0.0
1901-06-14 00:00:00+00:00,1.0
1901-06-17 00:00:00+00:00,0.0
1901-06-20 00:00:00+00:00,0.0
1901-06-23 00:00:00+00:00,1.0
1901-06-26 00:00:00+00:00,0.0
1901-06-29 00:00:00+00:00,0.0
1901-07-02 00:00:00+00:00,0.0
1901-07-05 00:00:00+00:00,0.0
1901-07-08 00:00:00+00:00,0.0
1901-07-11 00:00:00+00:00,0.0
1901-07-14 00:00:00+00:00,0.0
1901-07-17 00:00:00+00:00,0.0
1901-07-20 00:00:00+00:00,0.0
1901-07-23 00:00:00+00:00,0.0
1901-07-26 00:00:00+00:00,1.0
1901-07-29 00:00:00+00:00,0.0
1901-08-01 00:00:00+00:00,0.0
1901-08-04 00:00:00+00:00,0.0
1901-08-07 00:00:00+00:00,3.0
1901-08-10 00:00:00+00:00,0.0
1901-08-13 00:00:00+00:00,0.0
1901-08-16 00:00:00+00:00,0.0
1901-08-19 00:00:00+00:00,0.0
1901-08-22 00:00:00+00:00,0.0
1901-08-25 00:00:00+00:00,0.0
1901-08-28 00:00:00+00:00,0.0
1901-08-31 00:00:00+00:00,0.0
1901-09-03 00:00:00+00:00,0.0
1901-09-06 00:00:00+00:00,0.0
1901-09-09 00:00:00+00:00,0.0
1901-09-12 00:00:00+00:00,0.0
1901-09-15 00:00:00+00:00,0.0
1901-09-18 00:00:00+00:00,0.0
1901-09-21 00:00:00+00:00,0.0
1901-09-24 00:00:00+00:00,0.0
1901-09-27 00:00:00+00:00,0.0
1901-09-30 00:00:00+00:00,0.0
1901-10-03 00:00:00+00:00,0.0
1901-10-06 00:00:00+00:00,1.0
1901-10-09 00:00:00+00:00,0.0
1901-10-12 00:00:00+00:00,0.0
1901-10-15 00:00:00+00:00,0.0
1901-10-18 00:00:00+00:00,0.0
1901-10-21 00:00:00+00:00,0.0
1901-10-24 00:00:00+00:00,0.0
1901-10-27 00:00:00+00:00,0.0
1901-10-30 00:00:00+00:00,0.0
1901-11-02 00:00:00+00:00,0.0
1901-11-05 00:00:00+00:00,0.0
1901-11-08 00:00:00+00:00,0.0
1901-11-11 00:00:00+00:00,0.0
1901-11-14 00:00:00+00:00,1.0
1901-11-17 00:00:00+00:00,0.0
1901-11-20 00:00:00+00:00,0.0
1901-11-23 00:00:00+00:00,1.0
1901-11-26 00:00:00+00:00,0.0
1901-11-29 00:00:00+00:00,0.0
1901-12-02 00:00:00+00:00,0.0
1901-12-05 00:00:00+00:00,0.0
1901-12-08 00:00:00+00:00,1.0
1901-12-11 00:00:00+00:00,0.0
1901-12-14 00:00:00+00:00,1.0
1901-12-17 00:00:00+00:00,0.0
1901-12-20 00:00:00+00:00,0.0
1901-12-23 00:00:00+00:00,0.0
1901-12-26 00:00:00+00:00,0.0
1901-12-29 00:00:00+00:00,2.0
1902-01-01 00:00:00+00:00,1.0
1902-01-04 00:00:00+00:00,0.0
1902-01-07 00:00:00+00:00,0.0
1902-01-10 00:00:00+00:00,1.0
1902-01-13 00:00:00+00:00,0.0
1902-01-16 00:00:00+00:00,1.0
1902-01-19 00:00:00+00:00,0.0
1902-01-22 00:00:00+00:00,2.0
1902-01-25 00:00:00+00:00,0.0
1902-01-28 00:00:00+00:00,0.0
1902-01-31 00:00:00+00:00,0.0
1902-02-03 00:00:00+00:00,0.0
1902-02-06 00:00:00+00:00,0.0
1902-02-09 00:00:00+00:00,0.0
1902-02-12 00:00:00+00:00,0.0
1902-02-15 00:00:00+00:00,0.0
1902-02-18 00:00:00+00:00,0.0
1902-02-21 00:00:00+00:00,0.0
1902-02-24 00:00:00+00:00,0.0
1902-02-27 00:00:00+00:00,0.0
1902-03-02 00:00:00+00:00,0.0
1902-03-05 00:00:00+00:00,0.0
1902-03-08 00:00:00+00:00,0.0
1902-03-11 00:00:00+00:00,0.0
1902-03-14 00:00:00+00:00,0.0
1902-03-17 00:00:00+00:00,0.0
1902-03-20 00:00:00+00:00,0.0
1902-03-23 00:00:00+00:00,0.0
1902-03-26 00:00:00+00:00,0.0
1902-03-29 00:00:00+00:00,0.0
1902-04-01 00:00:00+00:00,0.0
1902-04-04 00:00:00+00:00,0.0
1902-04-07 00:00:00+00:00,0.0
1902-04-10 00:00:00+00:00,0.0
1902-04-13 00:00:00+00:00,0.0
1902-04-16 00:00:00+00:00,0.0
1902-04-19 00:00:00+00:00,1.0
1902-04-22 00:00:00+00:00,0.0
1902-04-25 00:00:00+00:00,0.0
1902-04-28 00:00:00+00:00,0.0
1902-05-01 00:00:00+00:00,1.0
1902-05-04 00:00:00+00:00,0.0
1902-05-07 00:00:00+00:00,0.0
1902-05-10 00:00:00+00:00,0.0
1902-05-13 00:00:00+00:00,0.0
1902-05-16 00:00:00+00:00,0.0
1902-05-19 00:00:00+00:00,1.0
1902-05-22 00:00:00+00:00,0.0
1902-05-25 00:00:00+00:00,0.0
1902-05-28 00:00:00+00:00,0.0
1902-05-31 00:00:00+00:00,0.0
1902-06-03 00:00:00+00:00,0.0
1902-06-06 00:00:00+00:00,0.0
1902-06-09 00:00:00+00:00,1.0
1902-06-12 00:00:00+00:00,0.0
1902-06-15 00:00:00+00:00,0.0
1902-06-18 00:00:00+00:00,0.0
1902-06-21 00:00:00+00:00,0.0
1902-06-24 00:00:00+00:00,0.0
1902-06-27 00:00:00+00:00,0.0
1902-06-30 00:00:00+00:00,0.0
1902-07-03 00:00:00+00:00,0.0
1902-07-06 00:00:00+00:00,0.0
1902-07-09 00:00:00+00:00,0.0
1902-07-12 00:00:00+00:00,0.0
1902-07-15 00:00:00+00:00,0.0
1902-07-18 00:00:00+00:00,0.0
1902-07-21 00:00:00+00:00,0.0
1902-07-24 00:00:00+00:00,0.0
1902-07-27 00:00:00+00:00,2.0
1902-07-30 00:00:00+00:00,1.0
1902-08-02 00:00:00+00:00,0.0
1902-08-05 00:00:00+00:00,0.0
1902-08-08 00:00:00+00:00,0.0
1902-08-11 00:00:00+00:00,0.0
1902-08-14 00:00:00+00:00,0.0
1902-08-17 00:00:00+00:00,0.0
1902-08-20 00:00:00+00:00,1.0
1902-08-23 00:00:00+00:00,0.0
1902-08-26 00:00:00+00:00,0.0
1902-08-29 00:00:00+00:00,0.0
1902-09-01 00:00:00+00:00,0.0
1902-09-04 00:00:00+00:00,0.0
1902-09-07 00:00:00+00:00,0.0
1902-09-10 00:00:00+00:00,0.0
1902-09-13 00:00:00+00:00,0.0
1902-09-16 00:00:00+00:00,0.0
1902-09-19 00:00:00+00:00,0.0
1902-09-22 00:00:00+00:00,2.0
1902-09-25 00:00:00+00:00,0.0
1902-09-28 00:00:00+00:00,0.0
1902-10-01 00:00:00+00:00,0.0
1902-10-04 00:00:00+00:00,1.0
1902-10-07 00:00:00+00:00,0.0
1902-10-10 00:00:00+00:00,0.0
1902-10-13 00:00:00+00:00,0.0
1902-10-16 00:00:00+00:00,0.0
1902-10-19 00:00:00+00:00,0.0
1902-10-22 00:00:00+00:00,0.0
1902-10-25 00:00:00+00:00,0.0
1902-10-28 00:00:00+00:00,0.0
1902-10-31 00:00:00+00:00,0.0
1902-11-03 00:00:00+00:00,0.0
1902-11-06 00:00:00+00:00,0.0
1902-11-09 00:00:00+00:00,0.0
1902-11-12 00:00:00+00:00,0.0
1902-11-15 00:00:00+00:00,1.0
1902-11-18 00:00:00+00:00,0.0
1902-11-21 00:00:00+00:00,0.0
1902-11-24 00:00:00+00:00,0.0
1902-11-27 00:00:00+00:00,0.0
1902-11-30 00:00:00+00:00,0.0
1902-12-03 00:00:00+00:00,1.0
1902-12-06 00:00:00+00:00,0.0
1902-12-09 00:00:00+00:00,0.0
1902-12-12 00:00:00+00:00,1.0
1902-12-15 00:00:00+00:00,0.0
1902-12-18 00:00:00+00:00,0.0
1902-12-21 00:00:00+00:00,0.0
1902-12-24 00:00:00+00:00,0.0
1902-12-27 00:00:00+00:00,0.0
1902-12-30 00:00:00+00:00,0.0
1903-01-02 00:00:00+00:00,1.0
1903-01-05 00:00:00+00:00,0.0
1903-01-08 00:00:00+00:00,0.0
1903-01-11 00:00:00+00:00,0.0
1903-01-14 00:00:00+00:00,1.0
1903-01-17 00:00:00+00:00,1.0
1903-01-20 00:00:00+00:00,0.0
1903-01-23 00:00:00+00:00,2.0
1903-01-26 00:00:00+00:00,0.0
1903-01-29 00:00:00+00:00,0.0
1903-02-01 00:00:00+00:00,1.0
1903-02-04 00:00:00+00:00,1.0
1903-02-07 00:00:00+00:00,1.0
1903-02-10 00:00:00+00:00,0.0
1903-02-13 00:00:00+00:00,0.0
1903-02-16 00:00:00+00:00,0.0
1903-02-19 00:00:00+00:00,0.0
1903-02-22 00:00:00+00:00,0.0
1903-02-25 00:00:00+00:00,1.0
1903-02-28 00:00:00+00:00,0.0
1903-03-03 00:00:00+00:00,0.0
1903-03-06 00:00:00+00:00,0.0
1903-03-09 00:00:00+00:00,0.0
1903-03-12 00:00:00+00:00,1.0
1903-03-15 00:00:00+00:00,0.0
1903-03-18 00:00:00+00:00,0.0
1903-03-21 00:00:00+00:00,0.0
1903-03-24 00:00:00+00:00,0.0
1903-03-27 00:00:00+00:00,0.0
1903-03-30 00:00:00+00:00,0.0
1903-04-02 00:00:00+00:00,0.0
1903-04-05 00:00:00+00:00,0.0
1903-04-08 00:00:00+00:00,0.0
1903-04-11 00:00:00+00:00,0.0
1903-04-14 00:00:00+00:00,0.0
1903-04-17 00:00:00+00:00,0.0
1903-04-20 00:00:00+00:00,0.0
1903-04-23 00:00:00+00:00,0.0
1903-04-26 00:00:00+00:00,0.0
1903-04-29 00:00:00+00:00,1.0
1903-05-02 00:00:00+00:00,0.0
1903-05-05 00:00:00+00:00,0.0
1903-05-08 00:00:00+00:00,0.0
1903-05-11 00:00:00+00:00,1.0
1903-05-14 00:00:00+00:00,0.0
1903-05-17 00:00:00+00:00,0.0
1903-05-20 00:00:00+00:00,0.0
1903-05-23 00:00:00+00:00,0.0
1903-05-26 00:00:00+00:00,0.0
1903-05-29 00:00:00+00:00,0.0
1903-06-01 00:00:00+00:00,1.0
1903-06-04 00:00:00+00:00,0.0
1903-06-07 00:00:00+00:00,0.0
1903-06-10 00:00:00+00:00,1.0
1903-06-13 00:00:00+00:00,0.0
1903-06-16 00:00:00+00:00,0.0
1903-06-19 00:00:00+00:00,0.0
1903-06-22 00:00:00+00:00,0.0
1903-06-25 00:00:00+00:00,0.0
1903-06-28 00:00:00+00:00,0.0
1903-07-01 00:00:00+00:00,0.0
1903-07-04 00:00:00+00:00,0.0
1903-07-07 00:00:00+00:00,0.0
1903-07-10 00:00:00+00:00,0.0
1903-07-13 00:00:00+00:00,0.0
1903-07-16 00:00:00+00:00,0.0
1903-07-19 00:00:00+00:00,0.0
1903-07-22 00:00:00+00:00,1.0
1903-07-25 00:00:00+00:00,0.0
1903-07-28 00:00:00+00:00,0.0
1903-07-31 00:00:00+00:00,0.0
1903-08-03 00:00:00+00:00,1.0
1903-08-06 00:00:00+00:00,0.0
1903-08-09 00:00:00+00:00,1.0
1903-08-12 00:00:00+00:00,0.0
1903-08-15 00:00:00+00:00,0.0
1903-08-18 00:00:00+00:00,0.0
1903-08-21 00:00:00+00:00,0.0
1903-08-24 00:00:00+00:00,0.0
1903-08-27 00:00:00+00:00,0.0
1903-08-30 00:00:00+00:00,0.0
1903-09-02 00:00:00+00:00,0.0
1903-09-05 00:00:00+00:00,0.0
1903-09-08 00:00:00+00:00,0.0
1903-09-11 00:00:00+00:00,0.0
1903-09-14 00:00:00+00:00,0.0
1903-09-17 00:00:00+00:00,0.0
1903-09-20 00:00:00+00:00,0.0
1903-09-23 00:00:00+00:00,0.0
1903-09-26 00:00:00+00:00,0.0
1903-09-29 00:00:00+00:00,0.0
1903-10-02 00:00:00+00:00,0.0
1903-10-05 00:00:00+00:00,0.0
1903-10-08 00:00:00+00:00,0.0
1903-10-11 00:00:00+00:00,0.0
1903-10-14 00:00:00+00:00,0.0
1903-10-17 00:00:00+00:00,0.0
1903-10-20 00:00:00+00:00,0.0
1903-10-23 00:00:00+00:00,0.0
1903-10-26 00:00:00+00:00,0.0
1903-10-29 00:00:00+00:00,0.0
1903-11-01 00:00:00+00:00,0.0
1903-11-04 00:00:00+00:00,2.0
1903-11-07 00:00:00+00:00,0.0
1903-11-10 00:00:00+00:00,0.0
1903-11-13 00:00:00+00:00,0.0
1903-11-16 00:00:00+00:00,0.0
1903-11-19 00:00:00+00:00,0.0
1903-11-22 00:00:00+00:00,0.0
1903-11-25 00:00:00+00:00,1.0
1903-11-28 00:00:00+00:00,0.0
1903-12-01 00:00:00+00:00,0.0
1903-12-04 00:00:00+00:00,0.0
1903-12-07 00:00:00+00:00,0.0
1903-12-10 00:00:00+00:00,0.0
1903-12-13 00:00:00+00:00,0.0
1903-12-16 00:00:00+00:00,0.0
1903-12-19 00:00:00+00:00,0.0
1903-12-22 00:00:00+00:00,0.0
1903-12-25 00:00:00+00:00,0.0
1903-12-28 00:00:00+00:00,1.0
1903-12-31 00:00:00+00:00,0.0
1904-01-03 00:00:00+00:00,0.0
1904-01-06 00:00:00+00:00,0.0
1904-01-09 00:00:00+00:00,0.0
1904-01-12 00:00:00+00:00,0.0
1904-01-15 00:00:00+00:00,0.0
1904-01-18 00:00:00+00:00,1.0
1904-01-21 00:00:00+00:00,0.0
1904-01-24 00:00:00+00:00,0.0
1904-01-27 00:00:00+00:00,0.0
1904-01-30 00:00:00+00:00,0.0
1904-02-02 00:00:00+00:00,0.0
1904-02-05 00:00:00+00:00,0.0
1904-02-08 00:00:00+00:00,0.0
1904-02-11 00:00:00+00:00,0.0
1904-02-14 00:00:00+00:00,0.0
1904-02-17 00:00:00+00:00,0.0
1904-02-20 00:00:00+00:00,0.0
1904-02-23 00:00:00+00:00,0.0
1904-02-26 00:00:00+00:00,0.0
1904-02-29 00:00:00+00:00,0.0
1904-03-03 00:00:00+00:00,1.0
1904-03-06 00:00:00+00:00,0.0
1904-03-09 00:00:00+00:00,0.0
1904-03-12 00:00:00+00:00,0.0
1904-03-15 00:00:00+00:00,1.0
1904-03-18 00:00:00+00:00,1.0
1904-03-21 00:00:00+00:00,1.0
1904-03-24 00:00:00+00:00,0.0
1904-03-27 00:00:00+00:00,0.0
1904-03-30 00:00:00+00:00,0.0
1904-04-02 00:00:00+00:00,3.0
1904-04-05 00:00:00+00:00,0.0
1904-04-08 00:00:00+00:00,0.0
1904-04-11 00:00:00+00:00,0.0
1904-04-14 00:00:00+00:00,1.0
1904-04-17 00:00:00+00:00,0.0
1904-04-20 00:00:00+00:00,0.0
1904-04-23 00:00:00+00:00,0.0
1904-04-26 00:00:00+00:00,0.0
1904-04-29 00:00:00+00:00,1.0
1904-05-02 00:00:00+00:00,0.0
1904-05-05 00:00:00+00:00,0.0
1904-05-08 00:00:00+00:00,0.0
1904-05-11 00:00:00+00:00,0.0
1904-05-14 00:00:00+00:00,0.0
1904-05-17 00:00:00+00:00,0.0
1904-05-20 00:00:00+00:00,0.0
1904-05-23 00:00:00+00:00,0.0
1904-05-26 00:00:00+00:00,0.0
1904-05-29 00:00:00+00:00,0.0
1904-06-01 00:00:00+00:00,0.0
1904-06-04 00:00:00+00:00,1.0
1904-06-07 00:00:00+00:00,1.0
1904-06-10 00:00:00+00:00,0.0
1904-06-13 00:00:00+00:00,0.0
1904-06-16 00:00:00+00:00,0.0
1904-06-19 00:00:00+00:00,0.0
1904-06-22 00:00:00+00:00,1.0
1904-06-25 00:00:00+00:00,4.0
1904-06-28 00:00:00+00:00,0.0
1904-07-01 00:00:00+00:00,0.0
1904-07-04 00:00:00+00:00,0.0
1904-07-07 00:00:00+00:00,0.0
1904-07-10 00:00:00+00:00,0.0
1904-07-13 00:00:00+00:00,0.0
1904-07-16 00:00:00+00:00,0.0
1904-07-19 00:00:00+00:00,0.0
1904-07-22 00:00:00+00:00,1.0
1904-07-25 00:00:00+00:00,0.0
1904-07-28 00:00:00+00:00,1.0
1904-07-31 00:00:00+00:00,0.0
1904-08-03 00:00:00+00:00,0.0
1904-08-06 00:00:00+00:00,1.0
1904-08-09 00:00:00+00:00,1.0
1904-08-12 00:00:00+00:00,0.0
1904-08-15 00:00:00+00:00,0.0
1904-08-18 00:00:00+00:00,0.0
1904-08-21 00:00:00+00:00,0.0
1904-08-24 00:00:00+00:00,1.0
1904-08-27 00:00:00+00:00,1.0
1904-08-30 00:00:00+00:00,1.0
1904-09-02 00:00:00+00:00,0.0
1904-09-05 00:00:00+00:00,0.0
1904-09-08 00:00:00+00:00,0.0
1904-09-11 00:00:00+00:00,0.0
1904-09-14 00:00:00+00:00,0.0
1904-09-17 00:00:00+00:00,0.0
1904-09-20 00:00:00+00:00,0.0
1904-09-23 00:00:00+00:00,0.0
1904-09-26 00:00:00+00:00,0.0
1904-09-29 00:00:00+00:00,0.0
1904-10-02 00:00:00+00:00,1.0
1904-10-05 00:00:00+00:00,0.0
1904-10-08 00:00:00+00:00,0.0
1904-10-11 00:00:00+00:00,0.0
1904-10-14 00:00:00+00:00,0.0
1904-10-17 00:00:00+00:00,0.0
1904-10-20 00:00:00+00:00,0.0
1904-10-23 00:00:00+00:00,1.0
1904-10-26 00:00:00+00:00,0.0
1904-10-29 00:00:00+00:00,0.0
1904-11-01 00:00:00+00:00,0.0
1904-11-04 00:00:00+00:00,0.0
1904-11-07 00:00:00+00:00,0.0
1904-11-10 00:00:00+00:00,0.0
1904-11-13 00:00:00+00:00,0.0
1904-11-16 00:00:00+00:00,0.0
1904-11-19 00:00:00+00:00,0.0
1904-11-22 00:00:00+00:00,0.0
1904-11-25 00:00:00+00:00,0.0
1904-11-28 00:00:00+00:00,0.0
1904-12-01 00:00:00+00:00,1.0
1904-12-04 00:00:00+00:00,0.0
1904-12-07 00:00:00+00:00,0.0
1904-12-10 00:00:00+00:00,1.0
1904-12-13 00:00:00+00:00,0.0
1904-12-16 00:00:00+00:00,0.0
1904-12-19 00:00:00+00:00,1.0
1904-12-22 00:00:00+00:00,0.0
1904-12-25 00:00:00+00:00,0.0
1904-12-28 00:00:00+00:00,0.0
1904-12-31 00:00:00+00:00,0.0
1905-01-03 00:00:00+00:00,0.0
1905-01-06 00:00:00+00:00,1.0
1905-01-09 00:00:00+00:00,1.0
1905-01-12 00:00:00+00:00,1.0
1905-01-15 00:00:00+00:00,0.0
1905-01-18 00:00:00+00:00,2.0
1905-01-21 00:00:00+00:00,1.0
1905-01-24 00:00:00+00:00,0.0
1905-01-27 00:00:00+00:00,0.0
1905-01-30 00:00:00+00:00,0.0
1905-02-02 00:00:00+00:00,0.0
1905-02-05 00:00:00+00:00,0.0
1905-02-08 00:00:00+00:00,0.0
1905-02-11 00:00:00+00:00,1.0
1905-02-14 00:00:00+00:00,1.0
1905-02-17 00:00:00+00:00,2.0
1905-02-20 00:00:00+00:00,0.0
1905-02-23 00:00:00+00:00,0.0
1905-02-26 00:00:00+00:00,1.0
1905-03-01 00:00:00+00:00,0.0
1905-03-04 00:00:00+00:00,2.0
1905-03-07 00:00:00+00:00,0.0
1905-03-10 00:00:00+00:00,0.0
1905-03-13 00:00:00+00:00,0.0
1905-03-16 00:00:00+00:00,1.0
1905-03-19 00:00:00+00:00,0.0
1905-03-22 00:00:00+00:00,1.0
1905-03-25 00:00:00+00:00,0.0
1905-03-28 00:00:00+00:00,0.0
1905-03-31 00:00:00+00:00,0.0
1905-04-03 00:00:00+00:00,4.0
1905-04-06 00:00:00+00:00,0.0
1905-04-09 00:00:00+00:00,0.0
1905-04-12 00:00:00+00:00,1.0
1905-04-15 00:00:00+00:00,0.0
1905-04-18 00:00:00+00:00,1.0
1905-04-21 00:00:00+00:00,0.0
1905-04-24 00:00:00+00:00,2.0
1905-04-27 00:00:00+00:00,1.0
1905-04-30 00:00:00+00:00,1.0
1905-05-03 00:00:00+00:00,1.0
1905-05-06 00:00:00+00:00,0.0
1905-05-09 00:00:00+00:00,2.0
1905-05-12 00:00:00+00:00,0.0
1905-05-15 00:00:00+00:00,0.0
1905-05-18 00:00:00+00:00,2.0
1905-05-21 00:00:00+00:00,0.0
1905-05-24 00:00:00+00:00,1.0
1905-05-27 00:00:00+00:00,0.0
1905-05-30 00:00:00+00:00,3.0
1905-06-02 00:00:00+00:00,2.0
1905-06-05 00:00:00+00:00,0.0
1905-06-08 00:00:00+00:00,1.0
1905-06-11 00:00:00+00:00,0.0
1905-06-14 00:00:00+00:00,1.0
1905-06-17 00:00:00+00:00,0.0
1905-06-20 00:00:00+00:00,0.0
1905-06-23 00:00:00+00:00,0.0
